Journal,Title,Link,Authors,Keywords
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Turkish scene text recognition: Introducing extensive real and synthetic datasets and a novel recognition model,https://doaj.org/article/4361a70cf08d45e38638beeead270071,Serdar Yıldız,"Scene text recognition dataset,; Synthetic scene text recognition dataset,; Patch masking,; Position attention,; Vision transformers"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Intensified electric field based highly sensitive backbone-shaped C and X band microwave metamaterial sensor for permittivity characterization applications,https://doaj.org/article/dbe7aafd748c4358b194509f32c9d096,"Mohammad Lutful Hakim,; Mohammad Tariqul Islam,; Mandeep Singh Jit Singh,; Touhidul Alam,; Abdulmajeed M. Alenezi,; Mohamed S. Soliman","Electric field,; Microwave,; Metamaterial,; Permittivity,; Sensor"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Retraction notice to “A prediction model for the performance of solar photovoltaic-thermoelectric systems utilizing various semiconductors via optimal surrogate machine learning methods” [Eng. Sci. Technol. Int. J. 40 (2023) 101363],https://doaj.org/article/140e20376b3d40178935cb6142908d9d,"Hisham Alghamdi,; Chika Maduabuchi,; Abdullah Albaker,; Ibrahim Alatawi,; Theyab R. Alsenani,; Ahmed S. Alsafran,; Abdulaziz Almalaq,; Mohammed AlAqil,; Mostafa A.H. Abdelmohimen,; Mohammad Alkhedher",Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",A green hydrogen production model from solar powered water electrolyze based on deep chaotic Lévy gazelle optimization,https://doaj.org/article/7dc4563e5ff3487da748919a48246094,"Heba Askr,; Mahmoud Abdel-Salam,; Václav Snášel,; Aboul Ella Hassanien","Green hydrogen,; Chaotic-Lévy gazelle optimization algorithm,; Artificial intelligence,; Deep learning,; Recurrent neural network,; Solar green energy"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Enhancement in the electrical efficiency of a photovoltaic thermal system through ternary nanofluids application: Nanomaterial shape effects and phase change material encased in a rectangular block,https://doaj.org/article/80363d24197b45808301ae48abb05b2b,"Ahmad Ayyad Alharbi,; Ali Rashash R. Alzahrani","Phase Change Materia,; Blade-Shaped,; Nanoparticles,; Photovoltaic Thermal System,; Electrical Efficiency"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Robust adaptive nonlinear PID controller using radial basis function neural network for ballbots with external force,https://doaj.org/article/a40291cf44564b74a23f9843ad2e8179,"Van-Truong Nguyen,; Quoc-Cuong Nguyen,; Mien Van,; Shun-Feng Su,; Harish Garg,; Dai-Nhan Duong,; Phan Xuan Tan","Ballbot,; Nonlinear PID control,; Radial basis function neural network,; Balancing composite motion optimization,; External force"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",TDSF: Two-phase tamper detection in semi-fragile watermarking using two-level integer wavelet transform,https://doaj.org/article/96432a2271db4873ae8111d78c35757c,"Agit Amrullah,; Ferda Ernawan,; Anis Farihan Mat Raffei,; Liew Siau Chuin","Image watermarking,; Image authentication,; Semi-fragile watermarking,; Recovery,; Integer wavelet transform"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Optimizing convex hull discovery: Introducing a quintuple-region algorithm with enhanced computational efficiency,https://doaj.org/article/f08da80eecce4c7abe3da12783ffb2ab,"Fidan Nuriyeva,; Hakan Kutucu","Computational geometry,; Convex hull,; Circuit covering,; Algorithm"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)","Design, fabrication, and performance analysis of a silicon solar cell integrated transparent antenna for wireless communications",https://doaj.org/article/225f9ee4e09848bab309c8be9583675c,"Emraul Islam Emon,; Afia Mubassira Islam,; Muhammad Shahriar Bashar,; Anis Ahmed","Green Technology,; Transparent Microstrip Patch Antennas,; ITO,; Silicon Solar Cell,; Wireless Communication"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Day-ahead photovoltaic power generation forecasting with the HWGC-WPD-LSTM hybrid model assisted by wavelet packet decomposition and improved similar day method,https://doaj.org/article/5a3a326fa0b14ba7ba6631028faff53b,"Ruxue Bai,; Jinsong Li,; Jinsong Liu,; Yuetao Shi,; Suoying He,; Wei Wei","PV power forecasting,; Hybrid model,; Improved similar day method,; Wavelet packet decomposition,; LSTM neural network"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Human face localization and detection in highly occluded unconstrained environments,https://doaj.org/article/80006f66964d4299ad0866bc3a5e0e87,"Abdulaziz Alashbi,; Abdul Hakim H.M. Mohamed,; Ayman A. El-Saleh,; Ibraheem Shayea,; Mohd Shahrizal Sunar,; Zieb Rabie Alqahtani,; Faisal Saeed,; Bilal Saoud","Occluded face detection,; Facial landmark detection,; Deep learning,; Artificial intelligence,; Computer vision"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Development of high-speed scanning acoustic microscopy system: Simplified design and stabilization,https://doaj.org/article/c4611a7b6b914a68ab3acee57838be77,"Donghyeok Kim,; Hanmin Oh,; Jaeyeop Choi,; Tan Hung Vo,; Dinh Dat Vu,; Sudip Mondal,; Van Hiep Pham,; Byeong-il Lee,; Junghwan Oh","Scanning Acoustic Microscopy,; High-speed SAM system,; Vibration,; Stabilization,; Product quality evaluation"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Quantifying the impact of construction defects on square RC columns,https://doaj.org/article/93fdeae5acfe4c46a8b19210688d143b,"Eyad Alsuhaibani,; El-Said Abd-Allah Bayoumi","Reinforced concrete (RC) columns,; Construction defects,; Honeycombed,; Eccentricity,; Confinement,; Toughness"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Belief game: Verifying smart contract functionality in player dynamic interactions,https://doaj.org/article/c23a80bf2c17465c8ae9cd9db4a73327,"Xu Liu,; Junwu Zhu","Smart contract,; Formal verification,; Belief dependent strategy,; Game equilibrium"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",A comparative study of thermal sprayed Al2O3-TiO2 coatings on PM AISI 316L,https://doaj.org/article/b1143789072d40e3ac7d3e6fa34e654f,"Kenan Tankal,; Bekir Güney,; Mehmet Akif Erden","Powder metallurgy,; Thermal Spray,; Ceramic Coating,; Wear,; 316 L stainless steel,; Alumina"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",06 February 2023 Kahramanmaraş earthquakes (Mw = 7.8 and 7.6) field observations and preliminary assessment report,https://doaj.org/article/46f2c5f916f346f5aa9fb1884a8ecb74,"Şenol Gürsoy,; Fatma Büşra Çekim Aydoğan","Earthquake behavior,; Kahramanmaraş earthquakes,; Reinforced concrete buildings,; RC building damages"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Chain extension of poly(butylene terephthalate)/organically modified clay nanocomposites,https://doaj.org/article/622e7580c4bf4bcf843aaf9b0a44f91f,Basak Tuna,"Poly(butylene terephthalate),; Organoclay,; Thermal degradation,; Chain extender"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Optimal allocation of electric vehicle charging stations and distributed generation in radial distribution networks,https://doaj.org/article/49e3344d006342f9a70245fc72e25663,"Ismail A. Soliman,; Vladimir Tulsky,; Hossam A. Abd el-Ghany,; Ahmed E. ElGebaly","Electric vehicle charging stations,; Optimization algorithms,; Vehicle to grid,; Power quality,; Capacitors allocation,; Distributed generation"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Application of pre-magnetic separation to address grinding classification density effects and enhance iron-copper separation in deep polymetallic magnetite ores,https://doaj.org/article/0b05e305422c4f27a762b61703eab8e6,"Shiteng Qin,; Sheng Dou,; Yang Hu,; Shijie Ma,; Fulai Lai,; Chuan Zhang,; Chong Shen,; Hongyu Zhao","Polymetallic magnetite,; Process mineralogy,; Magnetic separation,; Grinding and classification,; Flotation"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Entropy generation and heat transfer in Time-Fractional mixed convection of nanofluids in Darcy-Forchheimer porous channel,https://doaj.org/article/da0ef30e12fb4b788da053fc8ae7d601,"Zafar Hayat Khan,; Oluwole Daniel Makinde,; Alexander Trounev,; Waqar Ahmed Khan,; Rashid Ahmad","Thermophoresis,; Brownian motion,; Porous medium,; Velocity slip,; Channel flow,; Nanofluid"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Etching-free fabrication method for silver nanowires-based SERS sensors for enhanced molecule detection,https://doaj.org/article/fd4231ccfd094f29aa871433fd937b17,"Yurim Han,; Cristiano D’Andrea,; Mirine Leem,; Ji-Won Jung,; Sooman Lim,; Paolo Matteini,; Byungil Hwang","Surface-enhanced Raman spectroscopy,; Silver nanowires,; Dry film photoresist,; Lift-off process,; Sensor"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",AESware: Developing AES-enabled low-power multicore processors leveraging open RISC-V cores with a shared lightweight AES accelerator,https://doaj.org/article/9cd6fa161f7d4cc082b315fcd814e1cf,"Eunjin Choi,; Jina Park,; Kyuseung Han,; Woojoo Lee","Edge device,; AES,; RISC-V,; Embedded processor,; Multi-core processor architecture,; FPGA prototyping"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Editorial Board,https://doaj.org/article/9bcb728619b84f4e825743ee93b9b9e3,No authors listed,Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Sustainability assessment integrating BIM and decision-making for modular slab construction against conventional cast-in-situ,https://doaj.org/article/b71ad0219432413280fe6101e76f453b,"Khadija Mawra,; Khuram Rashid,; Fahad K. Alqahtani,; Idrees Zafar,; Jae-Gwon Jeong,; Minkwan Ju","Sustainability Indicators,; Quantification,; Integration,; BIM,; Decision matrix"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Front Matter 1 - Full Title Page (regular issues)/Special Issue Title page (special issues),https://doaj.org/article/b24df246c1fa42ae8b1744d8d7d01c1f,No authors listed,Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Experimentally validated numerical investigation on the behavior of composite shear walls subjected to cyclic loading,https://doaj.org/article/88b900335b4f4c42aabd78ca1fd46544,"M. Hasim Kisa,; S. Bahadir Yuksel,; Ramazan Özmen","Finite element analysis,; Cold-formed steel sheets,; Composite shear wall,; Cycling load,; Crack propagation"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",A fully-differential improved recycling folded-cascode amplifier for fast-settling switched-capacitor applications,https://doaj.org/article/88df40becd264a52a2823b3423d3e3ac,"Mohammad Yavari,; Mohammadamin Mohtashamnia","CMOS operational transconductance amplifiers,; Recycling folded-cascode amplifier (RFCA),; Current recycling,; Cross-coupled local positive feedback transistors,; Fast-settling switched-capacitor circuits,; High speed active current mirrors"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",A review on process prerequisites and biomedical applications of additively manufactured zirconia,https://doaj.org/article/41165b1e74fd45d28af2739a04511826,"Ratnesh Raj,; Gurminder Singh","Zirconia,; Additive manufacturing,; Biomedical,; Feedstock,; Printing fidelity,; 3D Printing"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Small-signal modeling and characteristic comparative analysis for a single grid-connected grid-forming VSG with full-order and second-order,https://doaj.org/article/3af85f8c25a0415a95de68306f0c316e,"Chuanfeng Liang,; Rongliang Shi,; Chengwei Ju,; Jun hui Li,; Yu Zhang","Grid-forming virtual synchronous generator,; Small signal mathematical model,; Grid-connected active power,; Dynamic response characteristic,; Second-order model,; Full-order model"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Influence of clay mineralogy on undrained cyclic strength of sand with fines,https://doaj.org/article/49ba8f8f21e049b68fef3482cfb4edf7,Irem Bozyigit,"Liquefaction resistance,; Poorly graded sand,; Kaolin,; Montmorillonite"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Investigation of the effect of electrophoresis-assisted milling on machinability,https://doaj.org/article/f5498cf4c87347739b66f347b014dac3,Aybars Mahmat,"Electrophoresis,; Machining,; CNC-milling,; Machinability,; Ti6Al4V alloy"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Research on the dynamic variation law of the discontinuous characteristics of the curvic coupling of aero-engine rotors under working conditions,https://doaj.org/article/097ae966987a4c33afa823d6785763a9,"Xing Heng,; Ailun Wang,; Haibiao Zhang,; Yijun Yin","Aero-engine Rotors,; Curvic Coupling,; Dynamic Variation Law,; Contact Stiffness Loss,; Complex Dynamic loads"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Command-filtered robust trajectory tracking control for aggressive maneuvers of quadrotor UAV with multiple unknown disturbances,https://doaj.org/article/c067416f320b482d8f546a9468387d9f,"Nigar Ahmed,; Meng Joo Er","Quadrotor,; Disturbance observer,; Reduced-order state observer,; Tracking control,; DJI F450"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",SECOA: Serial Exponential Coati Optimization Algorithm for MANET routing with link lifetime prediction,https://doaj.org/article/e049e593ce204d05b8f32f3af955dec0,"Neethu Ravindran,; R.P. Anto Kumar","MANET,; Routing,; Cluster head,; Node,; Topology control,; Energy"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Corrigendum to “Improving road safety through a novel crosswalk: Comprehensive material study with photoluminescent resin” [Eng. Sci. Technol. Int. J. 57 (2024) 101793],https://doaj.org/article/1ded7780eaac4ae98818d0e999d6f5d1,"J.M. Lozano Domínguez,; T.J. Mateo Sanguino,; M.J. Redondo González,; J.M. Davila Martin",Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Research on the top cutting features on face gears using normal to tooth profile method,https://doaj.org/article/a07a2c088bf14e7486a111e96b8a8f1a,"Wei Sheng,; Zhengminqing Li,; Xiaofeng Yu","Face gear,; Normal to tooth profile method (NTPM),; Top cutting,; Chamfering"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Utilising waste material in a 3DCP mixture: A review on rheological and compressive strength,https://doaj.org/article/f7327dbbb85c4c2c9b2fd3724a3ec344,"Mizan Adillia Ahmad Fuad,; Azhar Ghazali,; Mohd Hafizal Mohd Isa,; Hanizam Awang","3DCP,; 3D concrete mixture,; Sustainable waste,; Slump flow,; Compressive strength"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)","Efficient low-cost design for high-frequency, accurate hardware implementation of cardiac Purkinje fiber cells for biomedical engineering approaches",https://doaj.org/article/49f987d937224ed29c0f5b477ff2590c,"Shuli Liu,; Bukao Ni,; Xiaobo Wang,; Yanhong Yang,; Mohammad Sh. Daoud,; Jun Sun,; Abdulilah Mohammad Mayet,; Guodao Zhang,; Xinjun Miao","Hardware realization,; Multiplierless,; FPGA,; Purkinje fiber,; Optimization,; Artificial intelligence"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",A novel sub-windowing local binary pattern approach for dorsal finger creases based biometric classification system,https://doaj.org/article/67fe76d55d5a459c8c67fd8caa33c2eb,"Imran Riaz,; Ahmad Nazri Ali,; Haidi Ibrahim","Dorsal finger crease,; Local binary pattern,; TD-LBP,; Feature extraction,; Classification"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",The impact of implementing backbone architectures on fracture segmentation in X-ray images,https://doaj.org/article/f404a056b7dc49d089160fdc49dc478c,"Salih Turk,; Ozkan Bingol,; Ahmet Coskuncay,; Tolga Aydin","FracAtlas,; Segmentation,; Fracture detection,; Backbone,; DeepLabV3"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Performance analysis and optimization of secondary U-shaped double-sided toroidal winding linear permanent magnet vernier machine,https://doaj.org/article/9465dd169e664d02b57fc1f94f1de8e4,"Xiaozhuo Xu,; Sen Miao,; Siyuan Jiang,; Haichao Feng,; Liwang Ai","Low speed and high thrust,; Linear permanent magnet vernier machine,; Toroidal winding,; Performance analysis,; Optimized design"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",RELAKA: Robust ECC based Privacy Preserving Lightweight Authenticated Key Agreement protocol for healthcare applications,https://doaj.org/article/54d7987b2ed04ea0af98ca8ed6fd5d5c,"R. Kousalya,; G.A. Sathish Kumar","Internet of Medical Things (IoMT),; Elliptic Curve Cryptography (ECC),; Authentication,; Key Agreement,; Denial of Services (DoS),; AVISPA"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Investigating crumb rubber-modified geopolymer composites derived from steel slag for enhanced thermal performance,https://doaj.org/article/f7d2ebcd1ca544ac8d85e0c2d836183e,"Ashwin Narendra Raut,; Musa Adamu,; Ranjit J. Singh,; Yasser E. Ibrahim,; Anant Lal Murmu,; Omar Shabbir Ahmed,; Supriya Janga","Thermal conductivity,; Steel slag,; Crumb rubber,; Geopolymer,; Waste,; Sustainability"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)","An integrated solution for 3D overhead cranes: Time-optimal motion planning, obstacle avoidance, and anti-swing",https://doaj.org/article/b4cb62a00d26422eb0ae7b74511c9ee3,"Van Chung Nguyen,; Hue Luu Thi,; Hoa Bui Thi Khanh,; Huy Nguyen Danh,; Dai Pham Duc,; Tung Lam Nguyen","Motion planning,; Optimal time,; Obstacle avoidance,; Second-order sliding mode control,; Extended state observer"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Design and real-time implementation of a sliding mode observer utilizing voltage signal injection and PLL for sensorless control of IPMSMs,https://doaj.org/article/1f9982b866074f67b2caf8049e6499f5,"Ertugrul Ates,; Burak Tekgun,; Gunyaz Ablay,; Murat Barut","Sensorless control,; Signal injection,; IPMSM,; Sliding mode observer,; PLL"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Deep reinforcement learning approach for multi-hop task offloading in vehicular edge computing,https://doaj.org/article/b5320fbcde0f461eb4a30440e4c7b2fe,"Manzoor Ahmed,; Salman Raza,; Haseeb Ahmad,; Wali Ullah Khan,; Fang Xu,; Khaled Rabie","Vehicular edge computing,; Task offloading,; Multi-hop,; MmWave"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Novel hVsaGwo algorithm for non-linear dynamic weighted state feedback with 1DOF-PID based controllers in AVR,https://doaj.org/article/19c2ae88280a4caf8864756989fe9472,Mustafa Saka,"hVsaGwo,; Non-linear AVR scheme,; Amplifier feedback with dynamic weighted,; PID based controllers"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Critical analysis of Parkinson’s disease detection using EEG sub-bands and gated recurrent unit,https://doaj.org/article/850bca72671a462cb845020dffbad852,"Nabeel Khalid,; Muhammad Sarwar Ehsan","EEG,; Parkinson,; Degenerative disorder,; Classification,; Gated recurrent unit"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Mechanical properties analysis of non-pneumatic tire with gradient honeycomb structure,https://doaj.org/article/50d1a0b8b3014421bcb3273b9ecfef8b,"Tao Liu,; Yaoji Deng,; Keyu Lu,; Hui Shen,; Junjie Gong,; Hong Li","Non-Pneumatic Tire,; Gradient Design,; Finite element method,; Negative Poisson’s ratio,; Honeycomb Structure"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Chemically reactive magnetized flow of viscoplastic nanofluid through a vertical cone considering non-Darcy porous media,https://doaj.org/article/ab88083d245044fead2d8300972b4ea2,"Xiaofang Zhao,; Muhammad Nasir,; Mawaheb Al-Dossari,; M. Ashiq,; M. Salman Kausar,; M. Waqas,; Sherzod Abdullaev","Chemical reaction,; Viscoplastic nanoliquid,; Thermal generation,; Cross diffusion,; Magnetized impermeable rotating cone,; Bvp4c scheme"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (NOV 2024)",Quality sustaining vegetation index for natural resources monitoring using satellite images,https://doaj.org/article/72c7e9ef33aa481981f0ba0c0b82dddb,"Ana-Maria Tudorescu,; Catalin Negru,; Bogdan-Costel Mocanu,; Florin Pop","Distributed processing,; Monitoring,; Natural resource,; Quality sustaining vegetation index,; Satellite image processing"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (OCT 2024)",Real time non-invasive monitoring of glucose and nitrogen sources with a novel window sliding based algorithm,https://doaj.org/article/ad5a90ce84d74c51b91e6475be2ed8f5,"Omer Faruk Goktas,; Ekin Demiray,; Ali Degirmenci,; Ilyas Cankaya","Microwave,; VNA,; Glucose,; Yeast extract,; Ammonium sulfate,; Sliding window"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (OCT 2024)",Effect of single/multi-particle grinding parameters on surface properties of bearing steel GCr15,https://doaj.org/article/4fc788213f5249ac9bc24e8a3e36cc3b,"Lai Hu,; Banhu Li,; Lee Heow Pueh,; Zixi Wang,; Yuming Wang","Single/multi grain,; Thermodynamic coupling,; Residual stress,; Bearing ring,; Crystal crushing"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (OCT 2024)",High-bandwidth coupling circuit design for PLC applications on SWER networks: From design to production,https://doaj.org/article/a8ba98a3051c48e69fed300fb62c0f4f,"Kristi Beqirllari,; Cagil Ozansoy,; Douglas Gomes,; Mike Faulkner","Powerline carrier,; Coupling circuit,; Single-wire earth return,; Medium voltage,; CENELEC-A band"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (OCT 2024)",A review on microwave non-destructive testing (NDT) of composites,https://doaj.org/article/cc34805e1e3e4d9f8d3977ff240000ea,"Mohammed Saif ur Rahman,; Mohamed A. Abou-Khousa,; Muhammad Firdaus Akbar","Composites,; Microwaves,; Millimeter waves,; Non-destructive testing,; Review,; Sensors"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (OCT 2024)",An extensive analysis of power converter architectures for grid-connected solar photovoltaic driven electric vehicles (EVs),https://doaj.org/article/524de17897b24989a9604a339099e190,"Alok Jain,; Suman Bhullar","Photovoltaic systems (PV),; Electric vehicles (EVs),; Vehicle-to-grid (V2G),; Integrated topologies,; Non-integrated topologies,; Isolation"
