Keyword,Frequency
"compensation,;",4
side;,4
ignit;,4
flexibl;,4
compon;,4
"representation,;",4
ultrasound;,4
coeffici;,4
arc;,4
forc;,4
"microwave,;",4
"speed,;",4
"regulator,;",4
"copper,;",4
"methods,;",4
spray;,4
"antennas,;",4
reciproc;,4
"characteristics,;",4
second;,4
cylindr;,4
"converters,;",4
"error,;",4
nois;,4
"cnn,;",4
test,4
diesel;,4
evolutionari;,4
"load,;",4
autonom;,4
blood;,4
trajectori;,4
"angle,;",4
addit;,4
powder;,4
"length,;",4
"separation,;",4
"number,;",4
"concrete,;",4
select;,4
vehicl,4
"features,;",4
effect;,4
later;,4
separ;,4
interfer;,4
short;,4
"plant,;",4
feedback;,4
rotat;,4
"identification,;",4
ratio;,4
"microgrid,;",4
spheric;,4
"cycle,;",4
multi-phas;,4
"(fa),;",4
closed-loop;,4
bat;,4
reaction,4
"(grc),;",4
"disease,;",4
sign;,4
plastic;,4
adversari;,3
"media,;",3
"steganography,;",3
"emissions,;",3
"wedm,;",3
"magnetohydrodynamics,;",3
wedm,3
bodi;,3
face;,3
programm;,3
fractal;,3
"engineering,;",3
specif;,3
data-driven;,3
cluster;,3
"response,;",3
"decomposition,;",3
"manet,;",3
"alloying,;",3
convert,3
nanotub;,3
timoshenko;,3
disturb;,3
pv;,3
uwb;,3
"aluminum,;",3
an;,3
"microcontroller,;",3
"scheme,;",3
induc;,3
enhanc;,3
"powder,;",3
dri;,3
hydraul;,3
spark-ignit;,3
"artery,;",3
"factors,;",3
pollin;,3
flower;,3
"time,;",3
global;,3
duplex;,3
passiv;,3
indirect;,3
structur,3
"reconstruction,;",3
"waveform,;",3
neg;,3
"removal,;",3
"enclosure,;",3
flow,3
deriv;,3
"(ga),;",3
"feed,;",3
cycl;,3
micropolar;,3
channel,3
intermetal;,3
"drilling,;",3
tool,3
unsupervis;,3
gray;,3
markov;,3
fpga;,3
"coupling,;",3
"architecture,;",3
composit,3
parkinson’;,3
"actuator,;",3
"faults,;",3
assembl;,3
thermodynam;,3
heurist;,3
"device,;",3
mask;,3
denial;,3
applic,3
key;,3
"robustness,;",3
pi;,3
actuat;,3
error,3
redund;,3
"resistance,;",3
mathemat;,3
small;,3
"aluminium,;",3
"earthquakes,;",3
"pollution,;",3
"enhancement,;",3
kahramanmaraş;,3
"function,;",3
differ;,3
oxygen;,3
spatial;,3
critic;,3
sourc;,3
"pv,;",3
connect;,3
estim;,3
"computation,;",3
invers;,3
regress,3
"silica,;",3
"approximation,;",3
angular;,3
sinusoid;,3
"mobility,;",3
corros;,3
fraction,3
brushless;,3
delay;,3
ring;,3
"circuits,;",3
use;,3
carrier;,3
bayesian;,3
social;,3
analog;,3
"operator,;",3
approxim;,3
paramet;,3
transport;,3
path;,3
"drives,;",3
"interference,;",3
"column,;",3
breast;,3
"probability,;",3
sensor,3
"nonlinearity,;",3
"fume,;",3
"correlation,;",3
"information,;",3
thin;,3
convex;,3
materi,3
"study,;",3
manag;,3
"communication,;",3
"vehicle,;",3
"winding,;",3
environment;,3
reluct;,3
kalman;,3
interior;,3
"plants,;",3
silica;,3
"connection,;",3
"watermarking,;",3
discrimin;,3
organ;,3
chang;,3
"fault,;",3
threshold;,3
amplifi;,3
meta-heurist;,3
locat;,3
axial;,3
cmo;,3
long;,3
crack;,3
precis;,3
polar;,3
"models,;",3
temperatur,3
nanofluid,3
"(ann),;",3
veloc;,3
damag;,3
resist;,3
peak;,3
brownian;,3
capacit;,3
semant;,3
"localization,;",3
coir;,3
"wall,;",3
for;,3
intern;,3
predict;,3
"selection,;",3
convert;,3
"imaging,;",3
"fraction,;",3
"transformer,;",3
"chain,;",3
"utilization,;",3
emot;,3
loop;,3
corrug;,3
"interface,;",3
fin;,3
"sink,;",3
"channel,;",3
band;,3
shoot;,3
classic;,3
"microscopy,;",3
intellig,3
"lubrication,;",3
"biogas,;",3
"thermosyphon,;",3
strength,3
cascad;,3
pollut;,3
rubber;,3
"expansion,;",3
case;,3
forc,3
event;,3
"nanofluids,;",3
"chimney,;",3
adhes;,3
earli;,3
the;,3
iron;,3
glass;,3
rice;,3
resourc;,3
imag,3
pitch;,3
heterogen;,3
"manipulator,;",3
"casting,;",3
access;,3
orthogon;,3
"jet,;",3
"devices,;",3
oper,3
aluminum;,3
cyclic;,3
"modulation,;",3
q;,3
symmetr;,3
"compression,;",3
full;,3
color;,3
"alcohol,;",3
"stabilization,;",3
"transesterification,;",3
biomass;,3
hydro;,3
mixtur;,3
mutat;,3
compound;,3
"hardware,;",3
"derivative,;",3
curv,3
"(upfc),;",3
"conditioning,;",3
defect;,3
"dissimilar,;",3
"source/sink,;",3
"sheet,;",3
"signaling,;",3
classifi,3
gaussian;,3
"deregulation,;",3
"cutting,;",3
top;,3
back;,3
"annulus,;",3
ant;,3
propag;,3
"steels,;",3
soret;,3
"cells,;",3
"square,;",3
fed;,3
doubli;,3
"dynamics,;",3
avail;,3
price;,3
concret,3
"(gmdh),;",3
handl;,3
group;,3
"code,;",3
ferroc;,3
gravit;,3
constraint,3
charact;,3
simul,3
float;,3
health;,3
"evolution,;",3
"oil,;",3
similar;,3
radar;,3
pareto;,3
line,3
biodiesel,2
task;,2
"station,;",2
nano;,2
"convolution,;",2
absorpt,2
enhanc,2
popular;,2
"filtering,;",2
recommend;,2
big;,2
"access,;",2
non-orthogon;,2
"vectors,;",2
unit,2
"communications,;",2
"colony,;",2
avr;,2
"mwcnt,;",2
film;,2
"offloading,;",2
radio;,2
sensorless;,2
target;,2
"avoidance,;",2
obstacl;,2
"sonar,;",2
"geopolymer,;",2
"slag,;",2
poisson’;,2
"hiding,;",2
relay;,2
partial;,2
ann,2
latent;,2
satellit;,2
veget;,2
"resource,;",2
forward;,2
"cone,;",2
rel;,2
"diffusion,;",2
"recommendation,;",2
medium;,2
earth;,2
pin;,2
"carrier,;",2
uncertain;,2
crystal;,2
"scanning,;",2
"aes,;",2
edg;,2
"optimizer,;",2
prestress;,2
ellipt;,2
matlab;,2
"operation,;",2
"measures,;",2
millimet;,2
"balancing,;",2
band,2
"fluids,;",2
vortex;,2
connect,2
"topologies,;",2
conduct,2
lyapunov;,2
"states,;",2
"modulus,;",2
"dependence,;",2
absorb;,2
on;,2
pulse-width;,2
"electronics,;",2
"encryption,;",2
"attack,;",2
tire;,2
"comfort,;",2
"mmw,;",2
map;,2
figur;,2
"sensitivity,;",2
systemat;,2
eleph;,2
pso;,2
life;,2
weak;,2
"5g,;",2
"principles,;",2
"output,;",2
ii;,2
type;,2
term;,2
respons,2
music;,2
"block,;",2
initi;,2
"vector,;",2
common;,2
class;,2
elimin;,2
degrad,2
weather;,2
"acid,;",2
"nanowires,;",2
silver;,2
fuel,2
"cement,;",2
junction;,2
"acceleration,;",2
2023;,2
"capacitors,;",2
"tumor,;",2
brain;,2
teach;,2
tunnel;,2
"nanocomposites,;",2
limit;,2
sailfish;,2
"hydrogen,;",2
asynchron;,2
enclosur,2
sourc,2
"elimination,;",2
"photovoltaics,;",2
"pattern,;",2
drive,2
dorsal;,2
"margins,;",2
"realization,;",2
function,2
"ceramics,;",2
wavi;,2
"preparation,;",2
"warning,;",2
schedul,2
extern;,2
assist;,2
"buckling,;",2
advanc;,2
share;,2
"masking,;",2
aerodynam;,2
"impeller,;",2
"tie-line,;",2
robot;,2
factor,2
"sensor,;",2
grind;,2
"hardening,;",2
reduct,2
"ore,;",2
bottl;,2
nickel;,2
vm;,2
"cylinders,;",2
"gearbox,;",2
"resources,;",2
strip;,2
coplanar;,2
endovascular;,2
"surgery,;",2
"generators,;",2
valid,2
climat;,2
formal;,2
tough,2
"confinement,;",2
"treatment,;",2
tooth;,2
corros,2
topolog;,2
"whiskers,;",2
caso4;,2
"tariff,;",2
"members,;",2
moment;,2
"hardness,;",2
"law,;",2
day;,2
"noise,;",2
"beamforming,;",2
"coding,;",2
"(fpga),;",2
implement,2
straight;,2
hough;,2
dynamomet,2
"delay,;",2
tunabl;,2
lattic;,2
"routing,;",2
"wlan,;",2
load,2
modal;,2
jaya;,2
steel,2
rough;,2
"difference,;",2
evolut;,2
reflect;,2
"based,;",2
smooth;,2
buffer;,2
"sand,;",2
microgrid,2
dg;,2
"pile,;",2
experi,2
real-tim;,2
input–output;,2
synchron,2
bush;,2
cfd,2
anomali;,2
lubric;,2
line;,2
hot;,2
content;,2
"threshold,;",2
"robotics,;",2
convect,2
opposition-bas;,2
rc;,2
through;,2
"area,;",2
interfac;,2
biomed;,2
"electroencephalogram,;",2
"robots,;",2
"frequency,;",2
"current,;",2
two-phas;,2
lesion;,2
period;,2
"navigation,;",2
methodolog,2
"characterization,;",2
characterist,2
"bronze,;",2
laser;,2
product;,2
"alumina,;",2
ii,2
"coatings,;",2
"qos,;",2
"film,;",2
fir;,2
"degradation,;",2
"rsm,;",2
"fusion,;",2
work;,2
voic;,2
scan;,2
"solidification,;",2
dark;,2
hilbert-huang;,2
ensembl;,2
"electrospinning,;",2
"hydraulics,;",2
computer-aid;,2
"zone,;",2
stagnat;,2
"bayes,;",2
naïv;,2
"point,;",2
"stations,;",2
resist,2
"stretching/shrinking,;",2
valv,2
"thickness,;",2
"damping,;",2
"spring,;",2
coat;,2
"scale,;",2
mechan,2
constant;,2
"grinding,;",2
"dual-band,;",2
"pressure,;",2
recycl,2
"sources,;",2
frp;,2
"damage,;",2
voltag,2
"concentration,;",2
manufactur;,2
multipli,2
"gain,;",2
grid-connect;,2
zero;,2
tungsten;,2
"vehicles,;",2
sens;,2
diagnosi,2
"(ddos),;",2
second-ord;,2
"torque,;",2
print;,2
"pipe,;",2
integ;,2
submerg;,2
z;,2
scene;,2
"multiplication,;",2
"strategy,;",2
compact;,2
theori;,2
"retrieval,;",2
large-scal;,2
graviti;,2
detect,2
"(opf),;",2
seed;,2
squirrel;,2
non;,2
"mimo,;",2
fe;,2
three-phas;,2
wrestl;,2
anneal,2
layout;,2
wave,2
shock;,2
graph;,2
histogram;,2
"image,;",2
high-pow;,2
"valve,;",2
"protection,;",2
block;,2
ad-hoc;,2
eccentr;,2
quantit;,2
"disassembly,;",2
"regulation,;",2
hand;,2
analysi;,2
descent;,2
multi-respons;,2
drill;,2
cellulos;,2
blind;,2
turkey,2
cement;,2
compliant;,2
recognit;,2
infer;,2
"reactor,;",2
"catalyst,;",2
acid;,2
cell;,2
maxwel;,2
tripl;,2
boltzmann;,2
horizont;,2
plate;,2
"saving,;",2
"disc,;",2
"consumption,;",2
fit;,2
theori,2
aspect;,2
"duct,;",2
hydrodynam;,2
rankin;,2
stepper;,2
"tolerance,;",2
bio-inspir;,2
"signals,;",2
"level,;",2
cross-coupl;,2
"corrosion,;",2
gain;,2
governor;,2
strength;,2
densiti;,2
"solutions,;",2
rout;,2
obliqu;,2
cellular;,2
"additive,;",2
"microparticles,;",2
recycl;,2
"pretreatment,;",2
exergi;,2
li-ion;,2
quadratur;,2
secondari;,2
spectrum;,2
exchang;,2
electromechan;,2
visual;,2
open;,2
attribut;,2
"matrix,;",2
onlin;,2
angl;,2
drag;,2
sine;,2
"hysteresis,;",2
consumpt,2
eulerian;,2
fea,2
doubly-f;,2
blasiu;,2
"cost,;",2
root;,2
"amplifiers,;",2
(ftn);,2
faster-than-nyquist;,2
bandpass;,2
profit;,2
quadrat;,2
"vision,;",2
hydrogen;,2
rais;,2
shunt;,2
"resonator,;",2
center;,2
oper;,2
vibratori;,2
estim,2
"flux,;",2
refer;,2
pass;,2
reheat;,2
overlap;,2
earthquak;,2
affect;,2
thyristor;,2
quasi-opposit;,2
"revenue,;",2
inclin;,2
logic,2
"pmsm,;",2
"strengthening,;",2
empir;,2
"height,;",2
super;,2
weight,2
peristalt;,2
dusti;,2
sort;,2
phasor;,2
biolog;,2
"market,;",2
carri;,2
transient;,2
impact;,2
ceram;,2
"attributes,;",2
"discovery,;",2
prototyp;,2
lobe;,2
pulsatil;,2
graph,2
cubic;,2
transistor;,2
wide;,2
"permittivity,;",2
"metallurgy,;",2
"oxide,;",2
blade;,2
distort;,2
overlay;,2
peer-to-p;,2
krill;,2
electrochem;,2
inconel;,2
nusselt;,2
"potential,;",2
at;,2
quantum;,2
"linearization,;",2
util;,2
"(thd),;",2
ultra;,2
secur,2
higher;,2
elev;,2
"size,;",2
equilibrium,2
"multi-objective,;",2
plug;,2
"lifetime,;",2
"multiplier,;",2
"diffraction,;",2
"cooling,;",2
l-shape;,2
orient;,2
game;,2
jacobian;,2
end;,2
combin;,2
"building,;",2
"lines,;",2
"amplitude,;",2
"mrr,;",2
leaf;,2
beam,2
domino;,2
"zirconia,;",2
congest;,2
recognit,2
interact;,2
"mapping,;",2
increment;,2
"theorem,;",2
waveguid;,2
impuls;,2
"bonding,;",2
"laser,;",2
two;,2
"printing,;",2
nsga-ii,2
alloy,2
nuclear;,2
serial;,2
2d;,2
"sorting,;",2
"interaction,;",2
"driving,;",2
carbid;,2
"engines,;",2
alloy;,2
ise;,2
"phase,;",2
catheter;,2
"panel,;",2
shell;,2
lid-driven;,2
"ann,;",2
burr;,2
"gasoline,;",2
substrat;,2
"films,;",2
"graphene,;",2
"implementation,;",2
redox;,2
fact;,2
"pso,;",2
"application,;",2
hard;,2
sliding-mod;,2
sound;,2
"sag,;",2
"deflection,;",2
packet;,2
graphit;,2
degre;,2
chao;,2
multiple-valu;,2
pipe;,2
situ;,2
"mmcs,;",2
"bandwidth,;",2
"(sdn),;",2
program;,2
freedom;,2
molten;,2
techniqu,2
"milling,;",2
precipit,2
"metal,;",2
"band,;",2
number;,2
"storage,;",2
superconduct;,2
adder,2
pole;,2
dissip,2
multiband;,2
index,2
hall;,2
"adders,;",2
"currents,;",2
tool;,2
lamin;,2
"patterns,;",2
"clustering,;",2
canon;,2
pulsat;,2
drive;,2
open-end;,2
(2dof;,2
shade;,2
titanium;,2
illumin;,2
autom;,2
husk;,2
dufour;,2
element,2
"integrity,;",2
gap;,2
dc–dc;,2
clock;,2
gdi;,2
"bridge,;",2
"consolidation,;",2
"gtaw,;",2
feder;,2
roll;,2
"surfactant,;",2
"value,;",2
centrifug;,2
crow;,2
"concept,;",2
"barriers,;",1
multilay;,1
"(fii-pmsm),;",1
pmsm;,1
flux-intensifi;,1
hot-end;,1
cold-end;,1
gamma-typ;,1
stirl;,1
"transistors,;",1
"recycling,;",1
"(rfca),;",1
folded-cascod;,1
transconduct;,1
propag,1
"sentinel-1,;",1
offshor;,1
result,1
"evaluation,;",1
shaded-pol;,1
strouhal;,1
averag;,1
"quenching,;",1
"frc,;",1
payback;,1
tilt;,1
coupler,1
"millimeterwave,;",1
descriptor,1
"matching,;",1
image-bas;,1
product,1
ocn;,1
trimethylolpropan;,1
"regimes,;",1
"sheets,;",1
cold-form;,1
matrix,1
"bim,;",1
"integration,;",1
"quantification,;",1
"indicators,;",1
return,1
"period,;",1
"adhesion,;",1
oil-bas;,1
kerosen;,1
deriv,1
"exoskeleton,;",1
"merit,;",1
in-vivo;,1
x-band;,1
addit,1
"trioleate,;",1
"shielding,;",1
"stacking,;",1
tube;,1
spot;,1
"magnesium,;",1
we43;,1
cp,1
next-gen;,1
"cross-layer,;",1
"rheology,;",1
wheel-rail;,1
rail;,1
fiber-reinforc;,1
"fabric,;",1
non-crimp;,1
scr,1
"egr,;",1
"emulsions,;",1
grapese;,1
scaffold,1
biodegrad;,1
tissu;,1
bone;,1
collabor;,1
map,1
ed;,1
"(sem),;",1
microscopi;,1
"intermetallic,;",1
"(ebw),;",1
beam;,1
fractur,1
"property,;",1
represent;,1
sens,1
tamper;,1
metric,1
beyond-accuraci;,1
"items,;",1
blockbust;,1
"bias,;",1
"helicopter,;",1
3-dof;,1
prototyp,1
processor;,1
multi-cor;,1
embed;,1
"risc-v,;",1
lift-off;,1
"photoresist,;",1
univers;,1
divers,1
pattern;,1
"(dra),;",1
"(cp),;",1
circular;,1
ga,1
by;,1
fuzzy-smc;,1
fuzzy-genet;,1
slung;,1
quadrotor;,1
firefight;,1
"tomography,;",1
coher;,1
microscopi,1
fluoresc;,1
"tribometer,;",1
"cartilage,;",1
"biotribology,;",1
failur,1
decrypt;,1
forward-secur;,1
"non-interactive,;",1
microautobox,1
dspace;,1
"foundation,;",1
pile;,1
"rls,;",1
"mtpa,;",1
ipm;,1
radio,1
cognit;,1
"ofdm,;",1
symbol;,1
deepoct,1
"edema,;",1
macular;,1
"exploration,;",1
soc,1
"gpus,;",1
"fpgas,;",1
silica,1
"selectivity,;",1
spectral;,1
"allotropes,;",1
rectifi,1
"charging,;",1
coil;,1
settlement,1
socket;,1
"spectroscopy,;",1
raman;,1
surface-enhanc;,1
"thermophoresis,;",1
flotat,1
forest,1
quantil;,1
signatur,1
"hash,;",1
"hmac,;",1
light;,1
"liquid,;",1
disk-bas;,1
piec,1
interphas;,1
hard-templ;,1
drug;,1
"curcumin,;",1
thermophoresi;,1
cuda,1
"units,;",1
graphic;,1
"memory,;",1
"problems,;",1
unconstrain;,1
(asfo);,1
"(sfo),;",1
crow-search;,1
accur;,1
"mineralogy,;",1
"magnetite,;",1
polymetal;,1
selfish;,1
mesopor;,1
hollow;,1
motor,1
"improvement,;",1
"condenser,;",1
evapor;,1
"conditioner,;",1
split-typ;,1
tradit;,1
attack;,1
turbin;,1
-;,1
fopi-idn;,1
covid-pp;,1
neuromorph;,1
"(stdp),;",1
spike-time-dependent-plast;,1
"synapse,;",1
memristor;,1
neuron;,1
hindmarsh-ros;,1
monopol,1
step;,1
"(acs),;",1
"evs,;",1
"(pi)-pdf,;",1
cc-2dof;,1
csa,1
"(csa),;",1
"ofapid),;",1
aid;,1
"pid),;",1
thruster,1
"propellants,;",1
"htp,;",1
"peroxide,;",1
"dopamine,;",1
electro-mechan;,1
duodopa;,1
ambulatori;,1
ovpla,1
hvdc;,1
i;,1
"lfc,;",1
satur;,1
properti;,1
phreatic;,1
borehol;,1
biomechan,1
"prosthesis,;",1
"grasp,;",1
"benchmarking,;",1
thermal-hydraul;,1
"behaviors,;",1
"incubator,;",1
infant;,1
thermoelectr;,1
hash;,1
cruis;,1
extend,1
chain;,1
"organoclay,;",1
"terephthalate),;",1
poly(butylen;,1
damag,1
"buildings,;",1
"e-bike,;",1
tidal;,1
"(flg),;",1
few-lay;,1
al-si;,1
"bispectrum,;",1
star;,1
k;,1
ic;,1
carcinoma,1
"mean,;",1
"formation,;",1
tubul;,1
tabl;,1
montgomeri;,1
"exponentiation,;",1
"cryptosystem,;",1
public;,1
"cryptography,;",1
"fluctuation,;",1
pressur;,1
lumped-blad;,1
mechanical/microstructur;,1
phosphor;,1
woa,1
"avr,;",1
"fopi,;",1
dda,1
radi;,1
"grease,;",1
anfi;,1
"formability,;",1
"forming,;",1
rsa,1
recoveri;,1
rang,1
spur;,1
glitch;,1
"dac,;",1
score,1
opinion;,1
textur;,1
no-refer;,1
sem,1
"micro-bonding,;",1
"module,;",1
extract,1
visibl;,1
infrar;,1
scroll-expand,1
"r134a,;",1
geotherm;,1
alumina,1
l;,1
316;,1
"spray,;",1
depend;,1
hub;,1
doorway;,1
place;,1
k-band,1
"software,;",1
hfss;,1
"patch,;",1
annular;,1
select,1
head;,1
d2d;,1
disast;,1
"creation,;",1
"denoising,;",1
speckl;,1
constant,1
attenu;,1
"impedance,;",1
"assembly,;",1
conductor-semiconductor;,1
"conductor,;",1
"screen,;",1
semiconductor;,1
robot,1
narrow;,1
"(frm),;",1
"(ifir),;",1
closed-end;,1
lfcc,1
"mfcc,;",1
"psd,;",1
"signal,;",1
rf;,1
drone;,1
decision-mak,1
"data,;",1
tie;,1
"synchronization,;",1
"zcd,;",1
multi-standard;,1
"channelizer,;",1
"bank,;",1
reconfigur;,1
"(ntb),;",1
"surveys,;",1
multi-tempor;,1
"(uav),;",1
aerial;,1
unman;,1
"hazard,;",1
track,1
"disturbances,;",1
"pendulum,;",1
suppli,1
uninterrupt;,1
"simulink,;",1
mitig,1
neutral;,1
"position,;",1
cylind;,1
adiabat;,1
"polarization,;",1
morpholog,1
river;,1
"publishers,;",1
fraudul;,1
"under-sampling,;",1
scale,1
"shreds,;",1
"bars,;",1
deform;,1
mse;,1
"pullout,;",1
sbtc,1
thepade’;,1
pretrain;,1
usag;,1
land;,1
